,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
26,Ushuaia,75,AR,1572820677,52,-54.8,-68.3,44.6,19.46
27,Zharkent,24,KZ,1572821198,59,44.16,80.0,48.09,3.36
28,Andenes,20,NO,1572821198,68,69.31,16.12,28.4,5.82
29,Homestead,90,US,1572821199,83,25.47,-80.48,79.0,10.29
30,Sur,23,OM,1572820724,74,22.57,59.53,77.04,6.67
31,Port Elizabeth,75,ZA,1572820711,82,-33.92,25.57,60.8,5.82
32,Yongan,0,CN,1572821199,84,39.7,113.69,38.52,2.8
33,Port Blair,97,IN,1572820789,76,11.67,92.75,82.74,15.57
34,Deputatskiy,93,RU,1572820754,100,69.3,139.9,-4.2,1.97
35,Huaicheng,0,CN,1572821200,65,23.91,112.19,65.43,3.36
36,Coquimbo,75,CL,1572820715,77,-29.95,-71.34,66.0,11.41
37,Chandvad,32,IN,1572821200,85,20.33,74.25,72.61,3.6
38,Port-Gentil,75,GA,1572821201,83,-0.72,8.78,80.6,8.05
39,Half Moon Bay,1,US,1572821201,51,37.46,-122.43,81.0,10.29
40,Port Alfred,41,ZA,1572820694,89,-33.59,26.89,62.01,3.0
41,Pevek,43,RU,1572820695,79,69.7,170.31,12.74,16.24
42,Saint-Philippe,20,RE,1572820710,49,-21.36,55.77,73.4,6.93
43,Tuktoyaktuk,90,CA,1572820725,85,69.45,-133.04,19.4,11.41
44,Mlalo,15,TZ,1572821202,93,-4.93,38.93,71.35,5.1
45,Chicago,1,US,1572820927,53,41.85,-87.65,52.0,11.41
46,Dikson,90,RU,1572820715,95,73.51,80.55,-3.41,14.58
47,Hithadhoo,85,MV,1572820674,67,-0.6,73.08,82.09,1.81
48,Mutuipe,0,BR,1572821203,95,-13.23,-39.5,67.32,3.8
49,Isangel,75,VU,1572820706,69,-19.55,169.27,78.8,9.17
50,Maniitsoq,85,GL,1572820691,59,65.42,-52.9,28.54,10.76
51,Hermanus,78,ZA,1572820707,83,-34.42,19.23,57.0,1.01
52,Nyurba,0,RU,1572820741,92,63.28,118.33,8.37,6.06
53,Ocos,40,GT,1572821204,55,14.51,-92.19,89.6,6.93
54,Pagudpud,75,PH,1572821204,94,18.56,120.79,77.0,1.12
55,Kapaa,90,US,1572820696,78,22.08,-159.32,82.4,9.17
56,Saskylakh,99,RU,1572820694,95,71.92,114.08,-15.42,14.18
57,Flinders,75,AU,1572821205,72,-34.58,150.86,73.99,6.93
58,Upernavik,100,GL,1572820673,88,72.79,-56.15,24.28,10.58
59,Bredasdorp,59,ZA,1572820727,62,-34.53,20.04,59.0,3.36
60,Tiksi,100,RU,1572820679,88,71.69,128.87,8.58,7.47
61,Busselton,62,AU,1572820679,66,-33.65,115.33,54.0,2.57
62,Bukama,27,CD,1572821206,74,-9.2,25.85,72.59,2.71
63,Atuona,30,PF,1572820675,77,-9.8,-139.03,80.33,12.71
64,Dingle,26,PH,1572821207,78,11.0,122.67,81.27,3.15
65,Santa Marta,40,CO,1572820733,66,11.24,-74.2,87.8,12.75
66,Ancud,75,CL,1572820746,71,-41.87,-73.82,50.0,17.22
67,Juneau,90,US,1572820483,93,58.3,-134.42,44.6,5.82
68,Bor,90,RU,1572821207,86,56.36,44.07,34.0,13.42
69,Mandalgovi,50,MN,1572821208,75,45.76,106.27,31.15,21.52
70,Barrow,90,US,1572820704,86,71.29,-156.79,28.4,10.29
71,Strezhevoy,90,RU,1572821208,85,60.73,77.59,17.6,6.71
72,Vitim,100,RU,1572821209,95,59.45,112.56,15.55,6.89
73,Churapcha,100,RU,1572821209,94,62.0,132.43,11.05,5.23
74,Pachino,35,IT,1572821209,83,36.72,15.09,69.8,9.17
75,Omboue,100,GA,1572820764,97,-1.57,9.26,74.75,1.54
76,Victoria,75,CA,1572820616,87,48.43,-123.37,54.0,4.7
77,Grand Forks,90,US,1572821210,100,47.93,-97.03,34.0,4.7
78,Cayenne,38,GF,1572820580,94,4.93,-52.33,78.8,2.24
79,Fortuna,20,US,1572820702,55,40.6,-124.16,68.0,11.41
80,Hobart,75,AU,1572820475,54,-42.88,147.33,55.4,13.87
81,Chivilcoy,66,AR,1572821210,66,-34.9,-60.02,68.0,1.99
82,Ossora,100,RU,1572821211,97,59.24,163.07,37.6,19.84
83,Sudak,95,UA,1572821211,86,44.85,34.97,46.72,8.39
84,Brody,88,UA,1572821211,70,50.09,25.15,56.3,12.46
85,Provideniya,0,RU,1572820693,88,64.38,-173.3,21.09,3.13
86,Iroquois Falls,90,CA,1572821212,92,48.77,-80.68,26.6,3.36
87,Vila Franca do Campo,75,PT,1572820760,63,37.72,-25.43,66.2,6.93
88,Hambantota,75,LK,1572821212,100,6.12,81.12,73.4,3.36
89,Sioux Lookout,90,CA,1572820925,98,50.1,-91.92,33.8,9.17
90,Cabo San Lucas,5,MX,1572820528,51,22.89,-109.91,86.0,14.99
91,Lufilufi,75,WS,1572821213,66,-13.87,-171.6,87.8,10.29
92,Grindavik,100,IS,1572821213,74,63.84,-22.43,37.4,4.7
93,Kodiak,90,US,1572820693,93,57.79,-152.41,46.4,16.11
94,Pisco,20,PE,1572820744,30,-13.7,-76.22,71.6,18.34
95,Husavik,75,IS,1572820800,59,66.04,-17.34,35.6,21.92
96,Altamira,48,BR,1572821214,68,-3.2,-52.21,80.38,2.21
97,Kununurra,6,AU,1572821214,78,-15.77,128.73,82.4,4.7
98,Sawtell,0,AU,1572821215,57,-30.38,153.1,81.0,12.75
99,Inhambane,27,MZ,1572820793,81,-23.86,35.38,74.79,9.6
100,Georgetown,40,GY,1572820690,74,6.8,-58.16,84.2,4.7
101,Plettenberg Bay,87,ZA,1572821216,79,-34.05,23.37,57.7,0.63
102,Amahai,100,ID,1572821216,87,-3.33,128.92,82.99,1.01
103,Tosya,27,TR,1572821216,61,41.02,34.04,38.44,2.71
104,Los Llanos de Aridane,0,ES,1572820793,83,28.66,-17.92,71.6,10.29
105,Mar del Plata,0,AR,1572820521,87,-38.0,-57.56,64.99,9.17
106,Ilulissat,44,GL,1572820704,41,69.22,-51.1,23.0,5.82
107,Padang,100,ID,1572820709,91,-0.95,100.35,67.3,0.94
108,Khatanga,99,RU,1572820742,96,71.97,102.5,-12.38,12.33
109,Maniwaki,92,CA,1572821218,92,46.38,-75.97,30.6,5.14
110,Arraial do Cabo,11,BR,1572820701,74,-22.97,-42.03,78.8,10.29
111,Albany,75,US,1572820475,45,42.65,-73.76,46.99,8.05
112,Koslan,100,RU,1572821218,96,63.46,48.9,29.89,11.77
113,Salalah,40,OM,1572820706,88,17.02,54.09,80.6,3.36
114,Kavieng,100,PG,1572820731,75,-2.57,150.8,82.51,10.47
115,Avarua,100,CK,1572820684,53,-21.21,-159.78,75.2,10.29
116,Puerto Boyaca,90,CO,1572821157,79,5.98,-74.59,78.85,3.18
117,Jiwani,0,PK,1572821220,68,25.05,61.74,80.85,8.97
118,Adre,1,TD,1572821220,17,13.47,22.2,72.72,11.79
119,Katsuura,20,JP,1572820679,82,35.13,140.3,59.0,11.41
120,Warmbad,0,NA,1572821220,23,-28.45,18.73,66.31,3.91
121,Banjar,40,ID,1572821221,94,-8.19,114.97,78.8,4.7
122,New Norfolk,75,AU,1572820682,54,-42.78,147.06,55.4,13.87
123,Tasiilaq,75,GL,1572820715,86,65.61,-37.64,30.2,4.7
124,Alyangula,91,AU,1572821222,100,-13.85,136.42,77.0,1.12
125,Hasaki,20,JP,1572820694,93,35.73,140.83,55.0,6.93
126,Vila Velha,29,BR,1572821222,74,-20.33,-40.29,80.01,14.99
127,Sistranda,20,NO,1572820682,80,63.73,8.83,34.0,11.41
128,Ponta do Sol,40,PT,1572820687,64,32.67,-17.1,68.0,5.82
129,Lebu,94,CL,1572820715,91,-37.62,-73.65,49.46,2.75
130,Guerrero Negro,100,MX,1572820757,38,27.98,-114.06,73.83,11.95
131,Kruisfontein,60,ZA,1572820712,91,-34.0,24.73,51.4,2.62
132,Aklavik,90,CA,1572820677,92,68.22,-135.01,21.2,2.24
133,Ubinskoye,100,RU,1572821223,63,55.31,79.68,26.53,4.68
134,Luderitz,0,NA,1572820729,80,-26.65,15.16,57.63,16.13
135,Codrington,85,AU,1572820693,87,-38.27,141.97,52.0,8.99
136,Castro,97,BR,1572820744,98,-24.79,-50.01,64.58,4.74
137,Ko Samui,20,TH,1572821045,88,9.54,99.94,78.8,14.97
138,Dwarka,83,IN,1572820745,80,22.24,68.97,80.78,11.07
139,Manakara,51,MG,1572821225,96,-22.13,48.02,67.68,4.74
140,Bhuj,2,IN,1572821225,66,23.27,69.67,80.31,3.56
141,Benguela,97,AO,1572821225,86,-12.58,13.41,75.02,3.29
142,Kaniama,98,CD,1572820680,92,-7.57,24.18,65.82,1.48
143,Karatau,100,KZ,1572821226,49,43.17,70.47,42.01,17.78
144,Oktyabrskoye,4,RU,1572821226,66,43.06,44.74,30.7,0.4
145,Fort Nelson,75,CA,1572820716,79,58.81,-122.7,28.4,4.7
146,Buala,100,SB,1572821226,74,-8.14,159.59,82.42,1.66
147,Porbandar,79,IN,1572821227,76,21.64,69.61,81.43,11.36
148,Kieta,100,PG,1572820688,86,-6.22,155.63,77.47,8.68
149,La Ciotat,2,FR,1572821227,67,43.17,5.6,60.8,25.28
150,Esperance,66,AU,1572820564,93,-33.87,121.9,51.8,6.93
151,Havelock,1,US,1572821228,63,34.88,-76.9,59.0,3.36
152,Lata,75,PT,1572821228,100,40.16,-8.33,62.01,6.93
153,Vardo,20,NO,1572820757,86,70.37,31.11,30.2,25.28
154,Songling,0,CN,1572821228,87,31.19,120.72,68.0,4.47
155,Simao,31,CN,1572821229,96,22.79,100.97,57.72,2.33
156,Cherskiy,100,RU,1572820688,78,68.75,161.3,22.86,21.68
157,Laguna,1,US,1572820470,18,38.42,-121.42,80.01,4.7
158,Evensk,99,RU,1572820735,75,61.95,159.23,29.12,12.64
159,Port Moresby,90,PG,1572821230,78,-9.44,147.18,82.4,3.36
160,Ihosy,19,MG,1572821230,89,-22.4,46.12,61.05,5.61
161,Saldanha,75,ZA,1572820699,71,-33.01,17.94,55.4,5.82
162,Kavaratti,35,IN,1572820758,72,10.57,72.64,80.73,5.73
163,Qaanaaq,100,GL,1572820694,85,77.48,-69.36,17.06,8.55
164,Caravelas,6,BR,1572821232,83,-17.71,-39.25,77.94,18.43
165,Sonqor,0,IR,1572821123,81,34.78,47.6,46.4,0.76
166,Santa Rosa,40,PH,1572820787,88,14.31,121.11,80.6,2.24
167,Vaini,90,TO,1572820691,69,-21.2,-175.2,73.4,9.17
168,Tiznit,90,MA,1572821232,90,29.58,-9.5,59.11,0.96
169,Ixtapa,5,MX,1572821232,62,20.7,-105.2,86.0,10.29
170,Viedma,0,AR,1572821067,16,-40.81,-63.0,74.73,15.23
171,Gweru,18,ZW,1572821233,34,-19.45,29.82,70.66,7.2
172,Lompoc,1,US,1572820728,53,34.64,-120.46,79.0,14.99
173,Hamilton,75,CA,1572820539,59,43.23,-79.95,41.0,6.93
174,Vestmannaeyjar,100,IS,1572820743,61,63.44,-20.27,39.87,5.73
175,Faanui,48,PF,1572820700,75,-16.48,-151.75,82.0,9.98
176,Portland,75,US,1572820525,54,45.52,-122.68,62.01,3.36
177,Marsh Harbour,51,BS,1572820796,78,26.54,-77.06,78.84,12.95
178,Grand Gaube,40,MU,1572820796,83,-20.01,57.66,73.4,10.29
179,Kem,91,RU,1572821236,86,64.96,34.58,24.91,15.64
180,Bollnas,3,SE,1572821236,56,61.35,16.39,25.86,3.11
181,Manyana,3,BW,1572821236,31,-23.4,21.72,74.77,4.88
182,Okhotsk,97,RU,1572821236,85,59.38,143.3,28.69,9.15
183,Giyon,76,ET,1572821237,70,8.53,37.98,56.86,14.27
184,Boa Vista,20,BR,1572821237,43,2.82,-60.67,91.4,6.93
185,Carballo,75,ES,1572821237,87,43.21,-8.69,63.0,11.41
186,Inta,35,RU,1572821238,79,66.03,60.17,10.36,10.31
187,Asau,100,RO,1572820777,87,46.43,26.4,52.0,12.75
188,Bamiantong,0,CN,1572821238,30,44.93,130.53,27.59,6.17
189,Mackay,37,AU,1572820405,61,-21.15,149.2,80.6,8.05
190,Bouca,97,CF,1572821239,74,6.51,18.27,72.36,1.05
191,Bengkulu,65,ID,1572820720,84,-3.8,102.27,73.96,2.59
192,Tual,98,ID,1572820685,72,-5.67,132.75,82.4,5.06
193,Itagi,23,BR,1572821239,86,-14.16,-40.01,68.14,3.51
194,Sitka,90,US,1572820694,93,57.05,-135.33,50.0,5.82
195,Zanjan,74,IR,1572821240,87,36.67,48.48,38.01,3.02
196,Cape Town,76,ZA,1572820674,67,-33.93,18.42,61.0,20.8
197,Bambous Virieux,40,MU,1572820716,83,-20.34,57.76,73.4,10.29
198,Blackwater,46,AU,1572820749,50,-23.58,148.88,80.65,8.66
199,Mapiripan,52,CO,1572821240,94,2.89,-72.13,75.94,3.13
200,Vicuna,75,CL,1572821241,77,-30.03,-70.71,66.0,11.41
201,Yining,0,CN,1572821241,65,29.04,114.56,56.53,1.25
202,Okha,70,RU,1572820789,90,53.57,142.95,38.55,11.48
203,Kano,16,NG,1572821241,25,12.0,8.52,79.79,3.6
204,Channel-Port aux Basques,67,CA,1572821241,79,47.57,-59.14,44.71,29.57
205,Hermiston,1,US,1572821242,40,45.84,-119.29,55.99,1.43
206,Mogzon,61,RU,1572821242,68,51.74,111.96,19.56,19.3
207,Vestmanna,100,FO,1572820728,80,62.16,-7.17,39.2,9.17
208,Te Anau,95,NZ,1572820688,74,-45.42,167.72,56.43,6.35
209,Chilca,75,PE,1572821242,77,-12.52,-76.74,66.2,11.41
210,Kilindoni,0,TZ,1572821243,77,-7.91,39.67,80.31,7.18
211,Bishop Auckland,75,GB,1572821197,100,54.66,-1.68,48.0,2.24
212,Lebedinyy,100,RU,1572821243,96,58.52,125.52,16.83,3.96
213,Bethel,20,US,1572820668,42,41.37,-73.41,51.01,3.36
214,Mehamn,75,NO,1572821244,74,71.04,27.85,33.8,24.47
215,Jhanjharpur,0,IN,1572821244,78,26.27,86.28,69.53,3.31
216,Camana,29,PE,1572821244,92,-16.62,-72.71,56.08,1.97
217,Putina,10,PE,1572821244,66,-15.47,-69.43,51.84,11.61
218,Cockburn Town,1,TC,1572820761,70,21.46,-71.14,81.28,13.2
219,Sheffield,36,GB,1572821245,93,53.38,-1.47,46.99,5.82
220,Sabang,100,ID,1572821245,77,5.89,95.32,81.03,14.36
221,Rondonopolis,84,BR,1572821245,79,-16.47,-54.64,76.28,9.95
222,Trofors,0,NO,1572821246,86,65.53,13.41,30.2,4.7
223,Kalemie,18,CD,1572821246,63,-5.95,29.19,65.48,1.77
224,Zhigansk,98,RU,1572821246,89,66.77,123.37,6.73,11.18
225,Albufeira,75,PT,1572821246,93,37.09,-8.25,64.99,10.29
226,Carnarvon,0,AU,1572820676,55,-24.87,113.63,64.4,10.29
227,Norman Wells,75,CA,1572820673,92,65.28,-126.83,17.6,3.36
228,Bara,0,NG,1572821247,31,10.37,10.73,76.5,4.07
229,Nouadhibou,0,MR,1572821247,44,20.93,-17.03,80.6,16.11
230,Rafaela,88,AR,1572821248,71,-31.25,-61.49,73.99,1.99
231,Hualmay,65,PE,1572820676,81,-11.1,-77.61,62.28,5.37
232,Bubaque,100,GW,1572820753,78,11.28,-15.83,83.7,11.65
233,Saint George,1,US,1572820757,9,37.1,-113.58,71.6,3.36
234,Mahajanga,40,MG,1572821248,83,-15.72,46.32,78.8,2.24
235,Bahia Blanca,0,AR,1572821063,34,-38.72,-62.27,72.14,20.54
236,Kahului,20,US,1572820687,45,20.89,-156.47,87.8,12.75
237,Harper,0,LR,1572821249,90,4.38,-7.72,75.16,0.43
238,Mahebourg,40,MU,1572821249,83,-20.41,57.7,73.4,10.29
239,Darnah,0,LY,1572821249,72,32.77,22.64,71.28,11.79
240,Birjand,0,IR,1572821224,71,32.87,59.22,53.6,11.41
241,Yurimaguas,40,PE,1572821250,83,-5.9,-76.08,80.6,4.7
242,Bathsheba,75,BB,1572821250,70,13.22,-59.52,84.2,19.46
243,Nova Granada,94,BR,1572821250,24,-20.53,-49.31,93.2,5.73
244,Filingue,0,NE,1572821251,17,14.35,3.32,86.9,5.79
245,Am Timan,0,TD,1572821251,45,11.03,20.28,76.1,2.75
246,Karratha,46,AU,1572821251,44,-20.74,116.85,78.48,22.08
247,San Cristobal,40,VE,1572820710,66,7.77,-72.22,84.2,6.93
248,Derzhavinsk,100,KZ,1572821252,95,51.1,66.32,28.76,24.58
249,Harnosand,0,SE,1572821252,79,62.63,17.94,27.0,13.87
250,Hobyo,100,SO,1572820798,81,5.35,48.53,78.91,16.87
251,Lagoa,100,PT,1572820737,72,39.05,-27.98,65.98,14.79
252,Wahiawa,90,US,1572821113,78,21.5,-158.02,84.2,4.7
253,Iqaluit,90,CA,1572820711,73,63.75,-68.51,24.8,11.41
254,Honggang,0,CN,1572821253,29,46.47,124.87,30.79,9.95
255,Mount Gambier,90,AU,1572820714,93,-37.83,140.77,51.8,8.05
256,Thompson,90,CA,1572820688,85,55.74,-97.86,24.8,4.7
257,Bilibino,100,RU,1572820734,85,68.05,166.44,11.7,2.71
258,Beyneu,0,KZ,1572821254,69,45.32,55.2,30.0,10.0
259,Nargana,70,PA,1572821254,80,9.44,-78.59,82.06,9.57
260,Sinop,70,TR,1572821254,36,41.77,34.87,55.72,5.61
261,Samarai,78,PG,1572821255,66,-10.62,150.67,81.16,8.81
262,Svetlogorsk,89,BY,1572820796,78,52.63,29.73,51.6,13.96
263,Touros,100,BR,1572821247,74,-5.2,-35.46,78.8,13.87
264,Merauke,99,ID,1572821149,55,-8.47,140.33,86.56,6.35
265,Severo-Kurilsk,28,RU,1572820702,77,50.68,156.12,37.09,9.1
266,Lavrentiya,0,RU,1572821256,79,65.58,-171.0,26.1,7.99
267,Barhi,20,IN,1572821256,84,23.9,80.8,68.11,3.6
268,Poya,0,NC,1572820795,74,-21.35,165.15,72.12,14.29
269,Grand-Lahou,0,CI,1572821256,80,5.14,-5.02,80.74,7.58
270,Gushikawa,75,JP,1572821256,78,26.35,127.87,77.0,11.41
271,Meulaboh,76,ID,1572820691,78,4.14,96.13,77.9,6.78
272,Komsomolskiy,93,UZ,1572820705,76,40.43,71.72,50.0,4.7
273,Mulege,67,MX,1572821257,48,26.88,-111.98,76.95,4.45
274,Yelyzavethradka,100,UA,1572821257,85,48.8,32.4,51.93,16.71
275,Funtua,35,NG,1572821257,30,11.52,7.31,75.31,2.24
276,Cayhagan,40,PH,1572821257,78,9.67,122.43,82.71,9.57
277,Poum,40,NC,1572821258,78,-20.23,164.02,73.49,23.26
278,Terney,35,RU,1572821258,38,45.05,136.61,30.49,7.74
279,Pasni,1,PK,1572821258,63,25.26,63.47,76.98,2.82
280,Kulhudhuffushi,14,MV,1572820722,69,6.62,73.07,82.36,7.74
281,San Juan,65,AR,1572821258,28,-31.54,-68.54,82.89,8.3
282,Taksimo,100,RU,1572821259,79,56.34,114.88,14.63,6.98
283,Saint-Leu,20,RE,1572820729,49,-21.15,55.28,73.4,6.93
284,Shimoda,39,JP,1572820764,81,34.67,138.95,59.0,5.01
285,Beira,44,MZ,1572821259,75,-19.84,34.84,77.77,9.42
286,Victoria Point,75,AU,1572821259,78,-27.58,153.3,78.01,10.29
287,Mehran,30,IR,1572821260,71,33.12,46.16,51.8,4.7
288,Kyra,50,RU,1572821260,68,49.58,111.98,26.1,10.94
289,Aden,87,YE,1572821260,69,12.78,45.04,80.51,3.22
290,Clyde River,75,CA,1572820737,73,70.47,-68.59,21.2,16.11
291,Enzan,40,JP,1572821261,100,35.7,138.73,60.01,2.24
292,Klaksvik,100,FO,1572821261,80,62.23,-6.59,39.2,9.17
293,Midlothian,5,US,1572821261,31,32.48,-96.99,66.99,9.17
294,Ulladulla,75,AU,1572820769,72,-35.35,150.47,66.2,6.93
295,Nanortalik,6,GL,1572820763,72,60.14,-45.24,32.95,8.28
296,Casa Nova,4,BR,1572821262,37,-9.42,-41.13,84.2,2.24
297,Comodoro Rivadavia,20,AR,1572820731,22,-45.87,-67.5,68.0,31.09
298,Dali,0,CN,1572820785,89,25.7,100.18,47.43,1.59
299,Korcula,75,HR,1572820719,68,42.96,17.14,69.8,14.99
300,Dukat,100,RU,1572821263,96,62.55,155.55,16.81,2.98
301,Homer,90,US,1572821264,93,59.64,-151.55,42.8,6.46
302,Namatanai,100,PG,1572820721,80,-3.67,152.43,80.42,4.99
303,Mayumba,100,GA,1572821264,88,-3.43,10.66,79.05,8.46
304,Jiaocheng,89,CN,1572821265,60,24.68,116.14,64.35,3.56
305,Chicama,40,PE,1572821265,82,-7.84,-79.15,66.2,9.17
306,Benavente,90,ES,1572821265,81,42.0,-5.68,59.0,16.11
307,Talnakh,75,RU,1572820776,84,69.49,88.4,-0.41,13.42
308,Gitega,37,BI,1572821266,84,-3.43,29.93,58.44,2.53
309,Quang Ngai,100,VN,1572821266,86,15.12,108.8,76.5,21.79
310,Ha Giang,62,VN,1572821266,91,22.83,104.98,61.43,2.93
311,Inverell,26,AU,1572821267,62,-29.78,151.12,73.0,1.01
312,Bell Ville,6,AR,1572821267,61,-32.63,-62.69,75.99,7.0
313,Amuntai,45,ID,1572821268,66,-2.42,115.25,82.33,0.22
314,Chuy,67,UY,1572820675,85,-33.7,-53.46,57.81,7.72
315,Nauchnyy Gorodok,100,RU,1572821268,79,53.42,83.52,21.2,8.95
316,Uvat,49,RU,1572821268,96,59.14,68.9,15.01,3.91
317,Manta,75,EC,1572821269,83,-0.95,-80.73,77.0,9.17
318,Ostrovnoy,100,RU,1572820721,96,68.05,39.51,23.59,3.58
319,Sembakung,97,ID,1572821269,94,3.82,117.25,75.43,5.64
320,Robertson,75,AU,1572820708,72,-34.58,150.6,73.99,6.93
321,Vao,93,NC,1572821269,73,-22.67,167.48,71.83,16.82
322,Port Pirie,24,AU,1572821270,67,-33.18,138.02,59.0,11.41
323,Cabrero,57,CL,1572821270,59,-37.03,-72.4,66.2,10.29
324,Saint-Joseph,20,RE,1572820699,49,-21.37,55.62,73.4,6.93
325,Surt,0,LY,1572821270,29,31.21,16.59,72.79,11.25
326,Sechura,30,PE,1572821271,86,-5.56,-80.82,65.25,13.22
327,Sangamner,49,IN,1572821271,92,19.57,74.22,68.32,3.22
328,Pitkyaranta,62,RU,1572821271,83,61.57,31.48,30.31,9.55
329,Urengoy,8,RU,1572821271,95,65.97,78.37,-2.01,7.38
330,Port Hardy,75,CA,1572821271,87,50.7,-127.42,53.6,4.7
331,Sungairaya,87,ID,1572821272,84,0.7,108.9,79.47,2.71
332,El Sauzal,0,MX,1572821272,68,31.9,-116.68,68.0,1.99
333,Nueve de Julio,64,AR,1572821272,59,-35.44,-60.88,65.53,7.27
334,Zemio,97,CF,1572821273,94,5.03,25.14,70.0,2.21
335,Fort Payne,1,US,1572821273,26,34.44,-85.72,60.8,3.29
336,Mumbwa,6,ZM,1572821273,40,-14.98,27.06,70.83,4.52
337,Mouzouras,40,GR,1572821273,93,35.53,24.15,71.01,3.74
338,Pangnirtung,20,CA,1572820680,85,66.15,-65.71,17.6,2.24
339,Sorgun,1,TR,1572821274,41,39.81,35.19,41.76,5.68
340,Phangnga,20,TH,1572821274,83,8.45,98.53,80.6,8.05
341,Usinsk,89,RU,1572820552,85,65.99,57.53,16.75,17.45
342,Atar,0,MR,1572821274,23,20.52,-13.05,77.31,6.8
343,Storsteinnes,20,NO,1572821275,92,69.24,19.23,24.8,4.7
344,Conceicao do Araguaia,83,BR,1572821275,78,-8.26,-49.26,78.28,3.2
345,Staryy Nadym,0,RU,1572821275,92,65.61,72.68,1.76,6.55
346,Akureyri,75,IS,1572821275,59,65.68,-18.09,35.6,21.92
347,Vilhena,20,BR,1572821276,69,-12.74,-60.15,80.6,4.7
348,Asyut,0,EG,1572821276,44,27.18,31.18,64.72,6.85
349,Clifton,90,US,1572821276,37,40.86,-74.16,53.6,6.93
350,Nishihara,75,JP,1572820781,73,26.18,127.76,77.0,9.17
351,Namibe,85,AO,1572820705,83,-15.2,12.15,72.73,5.23
352,Bulgan,75,MN,1572821277,81,48.81,103.53,23.79,3.49
353,Sembe,94,CG,1572820704,96,1.65,14.58,67.33,0.87
354,Dillon,1,US,1572821277,50,34.42,-79.37,59.0,5.21
355,Indian Head,1,US,1572821277,57,38.6,-77.16,52.0,2.75
356,Zeya,16,RU,1572821277,87,53.75,127.27,14.36,4.21
357,Sabha,0,LY,1572820734,26,27.04,14.43,75.6,8.46
358,Manado,20,ID,1572821278,88,1.49,124.85,77.0,2.24
359,Geraldton,0,AU,1572820758,93,-28.77,114.6,51.8,4.7
360,Kuytun,4,RU,1572820679,84,54.34,101.5,18.1,4.23
361,Rawson,99,AR,1572820800,47,-43.3,-65.1,61.41,13.0
362,Lazaro Cardenas,0,MX,1572820689,83,17.96,-102.2,79.59,2.68
363,Matamoros,40,MX,1572821279,28,25.53,-103.25,86.0,9.17
364,Saint-Pierre,20,RE,1572820715,49,-21.34,55.48,73.4,6.93
365,Batagay,53,RU,1572821279,79,67.63,134.63,4.53,5.21
366,Okato,18,NZ,1572821279,62,-39.2,173.88,66.0,5.99
367,Beckley,1,US,1572821280,76,37.78,-81.19,48.2,2.93
368,Margate,75,GB,1572820731,100,51.38,1.39,51.01,4.7
369,Dongsheng,0,CN,1572821280,62,39.82,109.98,42.06,4.21
370,Bambanglipuro,98,ID,1572821281,78,-7.95,110.28,77.72,9.95
371,Hami,100,CN,1572820637,30,42.8,93.45,47.68,2.68
372,San Vicente,100,AR,1572820768,97,-26.62,-54.13,69.48,6.33
373,Lamu,1,KE,1572821281,88,-2.27,40.9,77.0,16.84
374,Ribas do Rio Pardo,51,BR,1572821282,48,-20.44,-53.76,81.63,5.41
